Name,Five Star Rating,Review Text,Date
Stick-Up Indofood,5,Wow really good 👍🏼,2024-02-10T16:34:12.356293Z
Locauto Check Point,5,"The best car rental. Fast check in and excellent drop off. Great service, special mention to Pietro!",2024-02-07T10:05:51.245865Z
Trattoria no zu Totó e niputi,5,Amazing! Excellent food and very good prices! 10/10,2024-02-03T22:04:37.610114Z
Bar della Valle Agrigento Tabacchi Carburanti Q8,5,Great sandwiches and products,2024-02-03T11:45:05.538411Z
One Burger,3,"On the upside, the place and the vibe are really cool.
On the downside, the burger is average and the fries are a rip off.

Pd: automated service machine for ordering, absolutely no contact with any staff and at payout you ask for tips? You guys are kidding?",2024-01-10T15:49:38.371133Z
Navel Brunch & Coffee,5,Great coffee shop,2024-01-10T15:44:48.765564Z
Casa Tafu,5,"Excelente, comida muy muy rica",2024-01-05T16:07:15.171450Z
Restaurante Japonés - SAMURAI,3,Supermarket quality sushi really disappointing,2023-12-15T14:16:14.490368Z
Wiber Rent a Car,1,"DO NOT TRUST! Eviten este servicio de alquiler de autos. Largas colas para retirar el auto y un servicio de drop off delirante. Alquilan autos con más de 60 mil kilómetros, con un montón de rayones, golpes y detalles en la pintura para después examinar el auto en el drop off durante 15 minutos. Grabe un video del estado del auto al retirarlo y aun así encontrar “daños” en partes que no se veían bien en detalle en el video. Algunos “daños” que se me atribuían pude demostrar que no eran míos y que las fotos con las que contaban no detallaban todos los daños. Aun así dos pequeñas marcas en la pintura fueron suficiente para que no me devuelvan la totalidad del depósito y recarguen al precio del alquiler el arreglo de esos “daños” por el precio de +150€ cada uno.",2023-11-01T16:06:53.390310Z
Cpar hire,1,"DO NOT TRUST! Eviten este servicio de alquiler de autos. Largas colas para retirar el auto y un servicio de drop off delirante. Alquilan autos con más de 60 mil kilómetros, con un montón de rayones, golpes y detalles en la pintura para después examinar el auto en el drop off durante 15 minutos. Grabe un video del estado del auto al retirarlo y aun así encontrar “daños” en partes que no se veían bien en detalle en el video. Algunos “daños” que se me atribuían pude demostrar que no eran míos y que las fotos con las que contaban no detallaban todos los daños. Aun así dos pequeñas marcas en la pintura fueron suficiente para que no me devuelvan la totalidad del depósito y recarguen al precio del alquiler el arreglo de esos “daños” por el precio de +150€ cada uno. Es un abuso total hacia los clientes y un claro indicio de que estas compañías no están en el negocio de alquiler de autos si no en el negocio de “arreglos” ya que ponen el precio del arreglo de manera unilateral. Un paragolpes nuevo, la pieza entera, cuesta menos que lo cobran por “daños” una vergüenza",2023-10-30T17:30:44.418999Z
